-0.375000 0.353853   0.750000 0.151345   
-0.345000 0.353857   0.750000 0.151358   
-0.285000 0.353857   0.750000 0.151356   
-0.225000 0.353856   0.750000 0.151355   
-0.165000 0.353856   0.750000 0.151355   
-0.109000 0.353855   0.750000 0.151353   
-0.059000 0.353853   0.749000 0.151350   
-0.014000 0.353851   0.748000 0.151346   
0.021000 0.353849   0.745000 0.151344   
0.061000 0.353847   0.741000 0.151340   
0.108000 0.353845   0.735000 0.151337   
0.164000 0.353842   0.726000 0.151332   
0.225000 0.353840   0.716000 0.151329   
0.217000 0.353838   0.750000 0.151327   
0.196000 0.353839   0.750000 0.151328   
0.179000 0.353843   0.750000 0.151336   
0.173000 0.353850   0.750000 0.151347   
0.168000 0.353859   0.750000 0.151364   
0.162000 0.353872   0.750000 0.151385   
0.158000 0.353887   0.750000 0.151411   
0.155000 0.353906   0.750000 0.151443   
0.152000 0.353927   0.750000 0.151478   
0.150000 0.353950   0.741000 0.151516   
0.148000 0.353974   0.622000 0.151556   
0.144000 0.354000   0.532000 0.151598   
0.150000 0.354027   0.465000 0.151641   
0.225000 0.354053   0.437000 0.151683   
0.296000 0.354078   0.479000 0.151724   
0.328000 0.354103   0.490000 0.151764   
0.424000 0.354127   0.498000 0.151801   
0.579000 0.354149   0.508000 0.151836   
0.579000 0.354170   0.516000 0.151869   
0.578000 0.354189   0.523000 0.151898   
0.572000 0.354206   0.504000 0.151925   
0.548000 0.354222   0.426000 0.151948   
0.537000 0.354241   0.354000 0.151979   
0.561000 0.354253   0.290000 0.151995   
0.580000 0.354262   0.236000 0.152009   
0.595000 0.354270   0.192000 0.152020   
0.607000 0.354277   0.160000 0.152030   
0.617000 0.354283   0.140000 0.152039   
0.625000 0.354288   0.132000 0.152046   
0.632000 0.354292   0.137000 0.152052   
0.638000 0.354284   0.154000 0.152045   
0.636000 0.354274   0.182000 0.152036   
0.599000 0.354262   0.221000 0.152026   
0.564000 0.354247   0.270000 0.152014   
0.533000 0.354229   0.324000 0.152000   
0.510000 0.354207   0.381000 0.151982   
0.522000 0.354180   0.419000 0.151960   
0.550000 0.354145   0.478000 0.151933   
0.571000 0.354101   0.534000 0.151899   
0.588000 0.354044   0.588000 0.151856   
0.594000 0.353970   0.633000 0.151800   
0.600000 0.353874   0.678000 0.151729   
0.603000 0.353747   0.722000 0.151637   
0.606000 0.353579   0.737000 0.151517   
0.611000 0.353354   0.734000 0.151360   
0.608000 0.353052   0.731000 0.151154   
0.559000 0.352644   0.729000 0.150882   
0.514000 0.352090   0.728000 0.150522   
0.475000 0.351342   0.730000 0.150047   
0.446000 0.350335   0.737000 0.149424   
0.427000 0.348979   0.748000 0.148607   
0.404000 0.347153   0.750000 0.147536   
0.382000 0.344694   0.713000 0.146133   
0.364000 0.341378   0.667000 0.144293   
0.353000 0.336902   0.630000 0.141878   
0.311000 0.330876   0.497000 0.138721   
0.181000 0.322921   0.377000 0.134669   
0.152000 0.312680   0.344000 0.129598   
0.175000 0.299782   0.309000 0.123396   
0.040000 0.283854   0.102000 0.115940   
0.002000 0.264530   -0.003000 0.107096   
0.068000 0.241796   -0.089000 0.096940   
0.134000 0.215755   -0.175000 0.085559   
0.194000 0.186743   -0.250000 0.073105   
0.200000 0.149010   -0.229000 0.058811   
-0.579000 0.158780   0.750000 0.054669   
-0.523000 0.203011   0.750000 0.054631   
-0.460000 0.232660   0.719000 0.051154   
-0.528000 0.253279   0.586000 0.050177   
-0.424000 0.264476   0.456000 0.049451   
-0.390000 0.269092   0.450000 0.048160   
-0.378000 0.270565   0.453000 0.046779   
-0.292000 0.270658   0.450000 0.045528   
-0.143000 0.270194   0.750000 0.044459   
-0.077000 0.269555   0.750000 0.043571   
-0.016000 0.268948   0.750000 0.042878   
0.040000 0.269213   0.750000 0.043124   
0.100000 0.269781   0.750000 0.043688   
0.144000 0.270426   0.750000 0.044355   
0.148000 0.271136   0.750000 0.045132   
0.148000 0.271901   0.750000 0.046036   
-0.282000 0.272695   0.750000 0.047081   
-0.575000 0.273462   0.750000 0.048278   
-0.542000 0.274156   0.750000 0.049658   
-0.511000 0.274682   0.750000 0.051252   
-0.482000 0.274902   0.750000 0.053101   
-0.445000 0.274618   0.750000 0.055257   
MSE: 0.189303
