0.437000 0.315850   -0.103000 0.065220   
0.427000 0.532266   -0.086000 0.018589   
0.419000 0.523075   -0.073000 0.020650   
0.414000 0.514634   -0.064000 0.022492   
0.411000 0.508327   -0.059000 0.023875   
0.411000 0.503662   -0.058000 0.024766   
0.413000 0.501940   -0.061000 0.025009   
0.418000 0.501964   -0.068000 0.024693   
0.426000 0.505046   -0.080000 0.023719   
0.437000 0.509999   -0.097000 0.022146   
0.452000 0.518473   -0.119000 0.019992   
0.472000 0.530181   -0.146000 0.017412   
0.492000 0.544752   -0.173000 0.014594   
0.497000 0.559136   -0.171000 0.012177   
0.502000 0.564650   -0.165000 0.012202   
0.553000 0.570293   -0.225000 0.012531   
0.594000 0.596534   -0.254000 0.008237   
0.662000 0.613331   -0.291000 0.006724   
0.750000 0.631833   -0.332000 0.005649   
0.750000 0.645117   -0.300000 0.006719   
0.750000 0.648817   -0.281000 0.009658   
0.750000 0.652508   -0.266000 0.013817   
0.750000 0.655975   -0.251000 0.020070   
0.699000 0.658609   -0.151000 0.029858   
0.643000 0.672830   0.076000 0.040043   
0.586000 0.714685   0.184000 0.074839   
0.539000 0.733205   0.246000 0.120433   
0.498000 0.764362   0.195000 0.229622   
0.445000 0.722151   0.165000 0.206920   
0.403000 0.663793   0.134000 0.196282   
0.405000 0.597325   0.275000 0.185081   
0.397000 0.580949   0.428000 0.276500   
0.419000 0.554844   0.419000 0.350472   
0.442000 0.505024   0.403000 0.371761   
0.466000 0.445961   0.391000 0.405558   
0.488000 0.384971   0.380000 0.450124   
0.378000 0.330415   0.376000 0.493048   
0.265000 0.259375   0.362000 0.501072   
0.283000 0.183551   0.335000 0.506044   
0.294000 0.156249   0.309000 0.531103   
0.285000 0.139875   0.379000 0.541259   
0.326000 0.118757   0.430000 0.578483   
0.330000 0.127178   0.461000 0.600773   
0.364000 0.122080   0.527000 0.613293   
0.390000 0.132967   0.597000 0.627803   
0.399000 0.141231   0.672000 0.638206   
0.394000 0.139186   0.750000 0.645928   
0.383000 0.128871   0.750000 0.651481   
0.358000 0.122820   0.750000 0.652406   
0.317000 0.108663   0.750000 0.653801   
0.260000 0.083484   0.750000 0.655948   
0.193000 0.048986   0.750000 0.658767   
0.116000 0.010793   0.750000 0.661796   
0.027000 -0.023993   0.750000 0.664516   
-0.075000 -0.052680   0.750000 0.666622   
-0.179000 -0.072595   0.715000 0.667734   
-0.276000 -0.082716   0.674000 0.667012   
-0.366000 -0.086890   0.644000 0.665067   
-0.442000 -0.087435   0.636000 0.661929   
-0.494000 -0.084888   0.688000 0.657376   
-0.544000 -0.078819   0.750000 0.650730   
-0.508000 -0.067420   0.750000 0.637869   
-0.471000 -0.065959   0.750000 0.636315   
-0.426000 -0.063514   0.750000 0.633674   
-0.398000 -0.060938   0.750000 0.631043   
-0.361000 -0.053771   0.750000 0.623020   
-0.299000 -0.045850   0.720000 0.614396   
-0.175000 -0.042480   0.625000 0.611048   
-0.071000 -0.052721   0.555000 0.622730   
0.001000 -0.053697   0.497000 0.623648   
0.053000 -0.048058   0.417000 0.616216   
0.094000 -0.040051   0.342000 0.597679   
0.132000 -0.029823   0.306000 0.569510   
0.189000 -0.015896   0.337000 0.548240   
0.264000 0.006510   0.367000 0.554438   
0.396000 0.038562   0.393000 0.561510   
0.573000 0.103734   0.411000 0.566954   
0.750000 0.205937   0.422000 0.563263   
0.750000 0.286734   0.429000 0.553043   
0.750000 0.350746   0.439000 0.503932   
0.750000 0.366637   0.447000 0.512662   
0.750000 0.381637   0.457000 0.519783   
0.750000 0.397627   0.466000 0.527985   
0.750000 0.411839   0.475000 0.534936   
0.726000 0.425232   0.481000 0.541284   
0.689000 0.430381   0.488000 0.546741   
0.656000 0.431176   0.495000 0.551796   
0.627000 0.432619   0.501000 0.554538   
0.602000 0.434781   0.507000 0.554184   
0.581000 0.439226   0.514000 0.551900   
0.553000 0.445274   0.493000 0.548514   
0.514000 0.443767   0.434000 0.528966   
0.472000 0.429969   0.379000 0.487029   
0.474000 0.415262   0.330000 0.444668   
0.465000 0.413831   0.289000 0.415726   
0.389000 0.406489   0.361000 0.391424   
0.309000 0.409564   0.441000 0.407920   
0.324000 0.411359   0.490000 0.420330   
0.341000 0.430140   0.510000 0.440312   
0.357000 0.442021   0.526000 0.448170   
0.372000 0.454143   0.548000 0.452754   
0.386000 0.467979   0.577000 0.458702   
0.401000 0.482949   0.578000 0.464789   
0.415000 0.491292   0.579000 0.463526   
0.426000 0.502844   0.582000 0.462145   
0.430000 0.519418   0.523000 0.459396   
0.430000 0.519806   0.437000 0.434834   
0.426000 0.511846   0.366000 0.391814   
0.416000 0.505899   0.284000 0.348647   
0.404000 0.491615   0.226000 0.299971   
0.392000 0.481773   0.187000 0.267303   
0.380000 0.474836   0.163000 0.247396   
0.368000 0.471466   0.162000 0.235504   
0.356000 0.473601   0.175000 0.232535   
0.345000 0.478184   0.192000 0.235299   
0.336000 0.483006   0.197000 0.241510   
0.328000 0.487310   0.204000 0.252932   
0.393000 0.486505   0.168000 0.258602   
0.452000 0.493121   0.155000 0.264624   
0.503000 0.496843   0.183000 0.287523   
0.565000 0.505340   0.225000 0.327225   
0.571000 0.513300   0.285000 0.376800   
0.556000 0.519699   0.293000 0.421337   
0.549000 0.505556   0.290000 0.434628   
0.539000 0.486487   0.289000 0.443800   
0.485000 0.466842   0.291000 0.453323   
0.444000 0.436880   0.323000 0.456371   
0.426000 0.413858   0.394000 0.477221   
0.442000 0.403098   0.453000 0.518394   
0.432000 0.399465   0.489000 0.554049   
0.420000 0.384504   0.530000 0.572126   
0.408000 0.368715   0.573000 0.587920   
0.393000 0.355237   0.619000 0.600949   
0.377000 0.342613   0.670000 0.611031   
0.360000 0.330505   0.725000 0.617625   
0.343000 0.321426   0.750000 0.621359   
0.325000 0.309833   0.728000 0.621010   
0.306000 0.291846   0.693000 0.617847   
0.289000 0.274769   0.659000 0.612162   
