//dist, ballAng, tarAng, coll, obstAng, spin, for0, for1
 80.916, -1.484, 0.699, 532.237, 0.785, -0.041, 0.437, -0.103
 81.045, -1.498, 0.754, 527.141, 0.827, -0.041, 0.427, -0.086
 81.326, -1.509, 0.807, 522.345, 0.869, -0.043, 0.419, -0.073
 81.681, -1.516, 0.859, 517.879, 0.914, -0.044, 0.414, -0.064
 82.100, -1.520, 0.908, 513.741, 0.959, -0.045, 0.411, -0.059
 82.575, -1.521, 0.955, 509.917, 1.005, -0.046, 0.411, -0.058
 83.152, -1.518, 1.000, 506.341, 1.053, -0.048, 0.413, -0.061
 83.740, -1.511, 1.044, 503.059, 1.103, -0.050, 0.418, -0.068
 84.359, -1.500, 1.085, 500.031, 1.156, -0.053, 0.426, -0.080
 84.922, -1.484, 1.124, 497.316, 1.211, -0.055, 0.437, -0.097
 85.479, -1.463, 1.162, 494.845, 1.270, -0.059, 0.452, -0.119
 86.010, -1.436, 1.199, 492.608, 1.334, -0.064, 0.472, -0.146
 86.351, -1.401, 1.234, 490.752, 1.403, -0.069, 0.492, -0.173
 86.519, -1.360, 1.268, 489.249, 1.479, -0.075, 0.497, -0.171
 86.438, -1.311, 1.300, 488.167, 1.560, -0.081, 0.502, -0.165
 86.155, -1.255, 1.331, 487.452, 1.647, -0.087, 0.553, -0.225
 85.827, -1.192, 1.361, 486.926, 1.740, -0.094, 0.594, -0.254
 85.388, -1.119, 1.391, 486.644, 1.842, -0.101, 0.662, -0.291
 84.786, -1.038, 1.419, 486.655, 1.951, -0.109, 0.750, -0.332
 83.964, -0.947, 1.445, 487.009, 2.069, -0.118, 0.750, -0.300
 82.939, -0.846, 1.471, 487.675, 2.195, -0.126, 0.750, -0.281
 81.653, -0.735, 1.494, 488.703, 2.330, -0.134, 0.750, -0.266
 80.146, -0.615, 1.516, 490.035, 2.472, -0.142, 0.750, -0.251
 78.453, -0.486, 1.536, 491.620, 2.620, -0.149, 0.699, -0.151
 76.559, -0.351, 1.554, 493.458, 2.773, -0.153, 0.643, 0.076
 74.378, -0.214, 1.569, 495.622, 2.926, -0.152, 0.586, 0.184
 71.977, -0.077, 1.582, 498.030, 3.076, -0.150, 0.539, 0.246
 69.418, 0.059, 1.593, 500.610, -3.060, -0.147, 0.498, 0.195
 66.785, 0.190, 1.603, 503.271, -2.919, -0.141, 0.445, 0.165
 64.176, 0.318, 1.610, 505.902, -2.784, -0.134, 0.403, 0.134
 61.651, 0.442, 1.612, 508.437, -2.657, -0.127, 0.405, 0.275
 59.227, 0.563, 1.612, 510.857, -2.538, -0.120, 0.397, 0.428
 56.922, 0.680, 1.608, 513.146, -2.425, -0.113, 0.419, 0.419
 54.735, 0.793, 1.601, 515.308, -2.318, -0.107, 0.442, 0.403
 52.683, 0.907, 1.591, 517.335, -2.215, -0.103, 0.466, 0.391
 50.843, 1.022, 1.576, 519.158, -2.115, -0.100, 0.488, 0.380
 49.174, 1.140, 1.556, 520.836, -2.016, -0.098, 0.378, 0.376
 47.811, 1.257, 1.533, 522.250, -1.922, -0.095, 0.265, 0.362
 46.621, 1.370, 1.508, 523.548, -1.834, -0.088, 0.283, 0.335
 45.591, 1.476, 1.482, 524.745, -1.754, -0.080, 0.294, 0.309
 44.780, 1.576, 1.454, 525.793, -1.682, -0.072, 0.285, 0.379
 44.199, 1.670, 1.426, 526.686, -1.617, -0.065, 0.326, 0.430
 43.905, 1.759, 1.396, 527.377, -1.558, -0.059, 0.330, 0.461
 43.852, 1.845, 1.365, 527.924, -1.503, -0.055, 0.364, 0.527
 44.025, 1.929, 1.332, 528.362, -1.451, -0.052, 0.390, 0.597
 44.512, 2.014, 1.298, 528.619, -1.400, -0.051, 0.399, 0.672
 45.370, 2.098, 1.263, 528.637, -1.351, -0.049, 0.394, 0.750
 46.543, 2.180, 1.228, 528.479, -1.304, -0.047, 0.383, 0.750
 48.020, 2.258, 1.194, 528.153, -1.260, -0.044, 0.358, 0.750
 49.771, 2.333, 1.160, 527.688, -1.219, -0.041, 0.317, 0.750
 51.790, 2.401, 1.128, 527.065, -1.183, -0.036, 0.260, 0.750
 54.071, 2.461, 1.098, 526.254, -1.153, -0.030, 0.193, 0.750
 56.567, 2.510, 1.070, 525.273, -1.132, -0.021, 0.116, 0.750
 59.243, 2.548, 1.045, 524.138, -1.119, -0.013, 0.027, 0.750
 62.032, 2.574, 1.023, 522.920, -1.115, -0.004, -0.075, 0.750
 64.930, 2.589, 1.002, 521.600, -1.121, 0.006, -0.179, 0.715
 67.935, 2.592, 0.983, 520.165, -1.137, 0.016, -0.276, 0.674
 71.003, 2.584, 0.966, 518.683, -1.162, 0.025, -0.366, 0.644
 74.094, 2.566, 0.950, 517.214, -1.197, 0.035, -0.442, 0.636
 77.202, 2.537, 0.934, 515.765, -1.241, 0.044, -0.494, 0.688
 80.275, 2.499, 0.918, 514.422, -1.295, 0.054, -0.544, 0.750
 83.325, 2.451, 0.903, 513.160, -1.358, 0.063, -0.508, 0.750
 86.331, 2.393, 0.888, 512.011, -1.431, 0.073, -0.471, 0.750
 89.245, 2.326, 0.872, 511.040, -1.514, 0.083, -0.426, 0.750
 92.050, 2.250, 0.856, 510.260, -1.606, 0.092, -0.398, 0.750
 94.735, 2.164, 0.840, 509.679, -1.708, 0.102, -0.361, 0.750
 97.271, 2.069, 0.823, 509.320, -1.820, 0.111, -0.299, 0.720
 99.633, 1.965, 0.807, 509.191, -1.940, 0.121, -0.175, 0.625
 101.767, 1.854, 0.790, 509.324, -2.069, 0.128, -0.071, 0.555
 103.640, 1.741, 0.773, 509.738, -2.199, 0.131, 0.001, 0.497
 105.146, 1.630, 0.755, 510.520, -2.327, 0.128, 0.053, 0.417
 106.317, 1.524, 0.738, 511.610, -2.451, 0.123, 0.094, 0.342
 107.222, 1.425, 0.720, 512.907, -2.567, 0.116, 0.132, 0.306
 107.831, 1.334, 0.703, 514.400, -2.675, 0.108, 0.189, 0.337
 108.139, 1.250, 0.687, 516.080, -2.775, 0.100, 0.264, 0.367
 108.188, 1.173, 0.670, 517.927, -2.869, 0.093, 0.396, 0.393
 108.022, 1.101, 0.654, 519.952, -2.958, 0.089, 0.573, 0.411
 107.617, 1.032, 0.637, 522.175, -3.043, 0.086, 0.750, 0.422
 106.874, 0.965, 0.620, 524.614, -3.127, 0.084, 0.750, 0.429
 105.897, 0.900, 0.603, 527.234, 3.074, 0.081, 0.750, 0.439
 104.686, 0.838, 0.586, 530.016, 2.995, 0.079, 0.750, 0.447
 103.267, 0.780, 0.568, 532.939, 2.918, 0.077, 0.750, 0.457
 101.661, 0.723, 0.550, 536.001, 2.844, 0.074, 0.750, 0.466
 99.853, 0.670, 0.531, 539.172, 2.772, 0.072, 0.750, 0.475
 97.804, 0.618, 0.512, 542.454, 2.701, 0.071, 0.726, 0.481
 95.543, 0.569, 0.493, 545.820, 2.633, 0.069, 0.689, 0.488
 93.055, 0.521, 0.474, 549.241, 2.566, 0.067, 0.656, 0.495
 90.333, 0.475, 0.455, 552.702, 2.501, 0.065, 0.627, 0.501
 87.356, 0.430, 0.437, 556.150, 2.438, 0.064, 0.602, 0.507
 84.113, 0.386, 0.419, 559.526, 2.376, 0.062, 0.581, 0.514
 80.649, 0.344, 0.401, 562.871, 2.316, 0.060, 0.553, 0.493
 76.962, 0.303, 0.384, 566.156, 2.258, 0.058, 0.514, 0.434
 73.079, 0.265, 0.368, 569.333, 2.204, 0.055, 0.472, 0.379
 69.044, 0.230, 0.352, 572.365, 2.153, 0.050, 0.474, 0.330
 64.915, 0.201, 0.338, 575.232, 2.110, 0.043, 0.465, 0.289
 60.731, 0.180, 0.324, 577.960, 2.074, 0.036, 0.389, 0.361
 56.470, 0.164, 0.310, 580.554, 2.045, 0.029, 0.309, 0.441
 52.075, 0.150, 0.297, 583.021, 2.018, 0.027, 0.324, 0.490
 47.517, 0.134, 0.285, 585.375, 1.990, 0.028, 0.341, 0.510
 42.776, 0.117, 0.274, 587.583, 1.962, 0.029, 0.357, 0.526
 37.845, 0.097, 0.264, 589.677, 1.932, 0.030, 0.372, 0.548
 32.722, 0.077, 0.254, 591.730, 1.902, 0.030, 0.386, 0.577
 27.398, 0.056, 0.244, 593.725, 1.870, 0.031, 0.401, 0.578
 21.870, 0.034, 0.234, 595.654, 1.838, 0.032, 0.415, 0.579
 19.760, 0.010, 0.226, 597.518, 1.806, 0.032, 0.426, 0.582
 23.055, -0.018, 0.223, 599.301, 1.774, 0.032, 0.430, 0.523
 26.133, -0.048, 0.223, 600.953, 1.742, 0.031, 0.430, 0.437
 29.087, -0.077, 0.226, 602.427, 1.715, 0.027, 0.426, 0.366
 31.998, -0.103, 0.233, 603.644, 1.694, 0.021, 0.416, 0.284
 34.909, -0.123, 0.241, 604.709, 1.681, 0.014, 0.404, 0.226
 37.846, -0.137, 0.250, 605.693, 1.674, 0.007, 0.392, 0.187
 40.826, -0.144, 0.258, 606.617, 1.673, 0.001, 0.380, 0.163
 43.865, -0.146, 0.267, 607.486, 1.679, -0.005, 0.368, 0.162
 47.021, -0.144, 0.275, 608.295, 1.687, -0.009, 0.356, 0.175
 50.320, -0.139, 0.282, 609.093, 1.698, -0.011, 0.345, 0.192
 53.755, -0.131, 0.289, 609.892, 1.711, -0.013, 0.336, 0.197
 57.304, -0.120, 0.295, 609.317, -1.416, -0.015, 0.328, 0.204
 60.953, -0.108, 0.300, 608.556, -1.400, -0.016, 0.393, 0.168
 64.680, -0.092, 0.305, 607.796, -1.381, -0.019, 0.452, 0.155
 68.422, -0.070, 0.309, 607.028, -1.356, -0.025, 0.503, 0.183
 72.140, -0.041, 0.313, 606.247, -1.325, -0.031, 0.565, 0.225
 75.775, -0.006, 0.317, 605.385, -1.288, -0.037, 0.571, 0.285
 79.276, 0.035, 0.319, 604.438, -1.246, -0.042, 0.556, 0.293
 82.626, 0.079, 0.321, 603.342, -1.202, -0.044, 0.549, 0.290
 85.828, 0.126, 0.322, 602.068, -1.156, -0.045, 0.539, 0.289
 88.859, 0.175, 0.321, 600.573, -1.110, -0.047, 0.485, 0.291
 91.777, 0.226, 0.318, 598.839, -1.063, -0.046, 0.444, 0.323
 94.659, 0.275, 0.314, 596.868, -1.020, -0.044, 0.426, 0.394
 97.515, 0.321, 0.309, 594.683, -0.981, -0.039, 0.442, 0.453
 100.352, 0.363, 0.302, 592.240, -0.948, -0.033, 0.432, 0.489
 103.128, 0.401, 0.294, 589.610, -0.919, -0.029, 0.420, 0.530
 105.881, 0.436, 0.285, 586.784, -0.896, -0.023, 0.408, 0.573
 108.622, 0.466, 0.275, 583.764, -0.878, -0.018, 0.393, 0.619
 111.335, 0.492, 0.263, 580.514, -0.864, -0.014, 0.377, 0.670
 114.023, 0.514, 0.252, 577.078, -0.856, -0.008, 0.360, 0.725
 116.678, 0.531, 0.239, 573.481, -0.853, -0.003, 0.343, 0.750
 119.295, 0.542, 0.227, 569.780, -0.856, 0.003, 0.325, 0.728
 121.867, 0.547, 0.214, 565.976, -0.866, 0.010, 0.306, 0.693
 124.399, 0.545, 0.201, 562.132, -0.883, 0.017, 0.289, 0.659
 126.864, 0.535, 0.190, 558.294, -0.906, 0.024, 0.271, 0.630
 129.277, 0.518, 0.178, 554.456, -0.937, 0.031, 0.255, 0.607
 131.634, 0.494, 0.167, 550.639, -0.974, 0.037, 0.239, 0.589
 133.902, 0.465, 0.157, 546.935, -1.015, 0.042, 0.225, 0.576
 136.089, 0.429, 0.148, 543.365, -1.062, 0.047, 0.212, 0.564
 138.199, 0.388, 0.140, 539.955, -1.112, 0.051, 0.201, 0.554
 140.237, 0.343, 0.134, 536.707, -1.166, 0.054, 0.258, 0.529
 142.161, 0.295, 0.128, 533.677, -1.222, 0.055, 0.327, 0.500
 143.945, 0.248, 0.125, 530.895, -1.274, 0.053, 0.395, 0.497
 145.592, 0.204, 0.123, 528.376, -1.322, 0.048, 0.457, 0.536
 147.071, 0.164, 0.122, 526.124, -1.365, 0.043, 0.515, 0.560
 148.348, 0.126, 0.122, 524.020, -1.405, 0.040, 0.549, 0.554
 149.425, 0.091, 0.123, 522.090, -1.441, 0.036, 0.586, 0.545
 150.276, 0.057, 0.126, 520.482, -1.475, 0.033, 0.634, 0.533
 150.888, 0.023, 0.130, 519.049, -1.506, 0.032, 0.695, 0.520
 151.293, -0.008, 0.134, 514.541, -0.160, 0.029, 0.750, 0.526
 151.512, -0.038, 0.141, 507.751, -0.187, 0.026, 0.750, 0.434
 151.626, -0.063, 0.148, 500.914, -0.208, 0.020, 0.750, 0.361
 151.701, -0.079, 0.155, 494.095, -0.220, 0.011, 0.750, 0.313
 151.756, -0.088, 0.164, 487.310, -0.223, 0.002, 0.750, 0.289
 151.797, -0.088, 0.174, 480.567, -0.218, -0.008, 0.703, 0.288
 151.812, -0.079, 0.184, 473.829, -0.203, -0.017, 0.657, 0.311
 151.798, -0.061, 0.194, 467.090, -0.180, -0.026, 0.621, 0.344
 151.736, -0.037, 0.205, 460.328, -0.150, -0.032, 0.590, 0.378
 151.605, -0.008, 0.215, 453.517, -0.116, -0.036, 0.572, 0.424
 151.388, 0.021, 0.224, 446.639, -0.083, -0.036, 0.568, 0.429
 151.110, 0.048, 0.233, 439.713, -0.051, -0.034, 0.572, 0.416
 150.802, 0.075, 0.241, 432.769, -0.020, -0.033, 0.573, 0.405
 150.468, 0.103, 0.248, 425.811, 0.011, -0.033, 0.546, 0.394
 150.124, 0.132, 0.254, 418.858, 0.042, -0.033, 0.504, 0.386
 149.815, 0.160, 0.260, 411.959, 0.073, -0.031, 0.467, 0.378
 149.582, 0.187, 0.264, 405.149, 0.101, -0.029, 0.439, 0.372
 149.419, 0.212, 0.268, 398.425, 0.127, -0.026, 0.419, 0.367
 149.366, 0.235, 0.270, 391.831, 0.150, -0.023, 0.401, 0.363
 149.449, 0.257, 0.272, 385.389, 0.172, -0.021, 0.386, 0.368
 149.707, 0.278, 0.272, 379.137, 0.193, -0.019, 0.390, 0.395
 150.089, 0.298, 0.272, 373.033, 0.212, -0.017, 0.390, 0.410
 150.542, 0.315, 0.272, 367.016, 0.227, -0.014, 0.389, 0.424
 151.035, 0.329, 0.270, 361.058, 0.240, -0.010, 0.387, 0.436
 151.547, 0.340, 0.268, 355.143, 0.249, -0.006, 0.384, 0.445
 152.060, 0.348, 0.266, 349.251, 0.255, -0.003, 0.381, 0.451
 152.571, 0.353, 0.263, 343.378, 0.259, -0.000, 0.377, 0.455
 153.060, 0.356, 0.260, 337.507, 0.259, 0.004, 0.372, 0.458
 153.514, 0.355, 0.256, 331.630, 0.257, 0.006, 0.368, 0.460
 153.954, 0.353, 0.253, 325.769, 0.253, 0.008, 0.363, 0.460
 154.370, 0.348, 0.250, 319.915, 0.246, 0.011, 0.358, 0.457
 154.745, 0.341, 0.247, 314.053, 0.238, 0.013, 0.354, 0.451
 155.105, 0.332, 0.244, 308.205, 0.228, 0.014, 0.349, 0.445
 155.430, 0.321, 0.241, 302.361, 0.216, 0.016, 0.346, 0.437
 155.736, 0.310, 0.239, 296.536, 0.203, 0.017, 0.342, 0.428
 156.017, 0.297, 0.237, 290.727, 0.190, 0.017, 0.340, 0.419
 156.285, 0.284, 0.236, 284.944, 0.177, 0.017, 0.343, 0.410
 156.515, 0.271, 0.235, 279.163, 0.165, 0.016, 0.361, 0.402
 156.712, 0.260, 0.234, 273.389, 0.154, 0.015, 0.378, 0.397
 156.884, 0.250, 0.234, 267.630, 0.145, 0.013, 0.391, 0.404
 157.016, 0.243, 0.234, 261.872, 0.138, 0.011, 0.403, 0.409
 157.079, 0.236, 0.235, 256.087, 0.133, 0.009, 0.412, 0.413
 157.072, 0.232, 0.236, 250.271, 0.130, 0.006, 0.416, 0.412
 157.010, 0.229, 0.237, 244.439, 0.129, 0.004, 0.417, 0.410
 156.898, 0.228, 0.239, 238.589, 0.130, 0.003, 0.417, 0.408
 156.750, 0.228, 0.240, 232.738, 0.131, 0.002, 0.416, 0.406
 156.566, 0.228, 0.242, 226.882, 0.134, 0.001, 0.414, 0.403
 156.335, 0.229, 0.244, 221.015, 0.137, 0.000, 0.412, 0.400
 156.048, 0.230, 0.246, 215.122, 0.141, -0.000, 0.410, 0.398
 155.714, 0.232, 0.248, 209.210, 0.145, -0.001, 0.407, 0.395
 155.323, 0.235, 0.250, 203.270, 0.150, -0.001, 0.404, 0.392
 154.895, 0.237, 0.252, 197.327, 0.155, -0.001, 0.401, 0.390
 154.439, 0.240, 0.253, 191.387, 0.161, -0.002, 0.397, 0.387
 153.989, 0.243, 0.255, 185.481, 0.167, -0.002, 0.394, 0.384
 153.529, 0.246, 0.257, 179.597, 0.174, -0.002, 0.390, 0.382
 153.059, 0.249, 0.259, 173.735, 0.180, -0.002, 0.387, 0.379
 151.824, 0.255, 0.256, 167.896, 0.187, -0.002, 0.383, 0.383
 146.211, 0.283, 0.226, 162.104, 0.193, -0.001, 0.345, 0.417
 140.804, 0.310, 0.194, 156.389, 0.198, 0.001, 0.261, 0.407
 135.605, 0.334, 0.161, 150.743, 0.200, 0.005, 0.168, 0.362
 130.679, 0.357, 0.126, 145.228, 0.198, 0.008, 0.089, 0.313
 126.092, 0.379, 0.090, 139.898, 0.195, 0.010, 0.017, 0.325
 121.867, 0.400, 0.053, 134.775, 0.190, 0.012, -0.000, 0.382
 117.973, 0.420, 0.015, 129.821, 0.182, 0.015, -0.016, 0.456
 114.322, 0.434, -0.025, 124.951, 0.168, 0.021, -0.061, 0.509
 110.853, 0.442, -0.065, 120.107, 0.146, 0.029, -0.110, 0.541
 107.569, 0.441, -0.106, 115.279, 0.115, 0.038, -0.163, 0.585
 104.453, 0.433, -0.148, 110.460, 0.075, 0.047, -0.182, 0.604
 101.488, 0.416, -0.191, 105.647, 0.025, 0.056, -0.170, 0.567
